primary_topic,secondary_topic,is_dual,text_input
music streaming,,0,I'm interested in companies focused on music streaming.
genomics,,0,I want to invest in genomics.
solar power,,0,I want to invest in solar power.
gaming,,0,Looking for exposure to gaming.
software,gaming,1,I'm interested in both software and gaming.
fintech,publishing,1,I want exposure to companies in fintech and publishing.
wealth management,,0,Looking for exposure to wealth management.
travel,banking,1,I want exposure to companies in travel and banking.
fitness,,0,I believe fitness will grow significantly.
cryptocurrency,telecommunications,1,Looking to invest in cryptocurrency as well as telecommunications.
social media,,0,I'm interested in companies focused on social media.
genomics,,0,I believe genomics will grow significantly.
software,,0,I believe software will grow significantly.
genomics,,0,I'm interested in companies focused on genomics.
beauty,,0,I'm interested in companies focused on beauty.
software,oil and gas,1,Looking to invest in software as well as oil and gas.
beverage,,0,Looking for exposure to beverage.
investment platforms,,0,I'm passionate about investment platforms and want investment opportunities.
pharmaceuticals,,0,I want to invest in pharmaceuticals.
wind energy,,0,Looking for exposure to wind energy.
food,wellness,1,Looking to invest in food as well as wellness.
automation,,0,I'm passionate about automation and want investment opportunities.
video streaming,,0,I want to invest in video streaming.
semiconductors,broadcasting,1,I believe semiconductors and broadcasting will grow over the next decade.
EV infrastructure,,0,I believe EV infrastructure will grow significantly.
investment platforms,,0,I believe investment platforms will grow significantly.
gaming,,0,I believe gaming will grow significantly.
home goods,lending,1,I believe home goods and lending will grow over the next decade.
wellness,publishing,1,I want exposure to companies in wellness and publishing.
fitness,wealth management,1,I want exposure to companies in fitness and wealth management.
wellness,,0,I'm interested in companies focused on wellness.
social media,,0,I believe social media will grow significantly.
podcasting,,0,I want to invest in podcasting.
retail,,0,I'm passionate about retail and want investment opportunities.
cryptocurrency,,0,Looking for exposure to cryptocurrency.
telecommunications,wellness,1,Looking to invest in telecommunications as well as wellness.
broadcasting,solar power,1,Looking to invest in broadcasting as well as solar power.
wealth management,,0,Looking for exposure to wealth management.
quantum computing,,0,Looking for exposure to quantum computing.
fitness,,0,I believe fitness will grow significantly.
hardware,personal finance,1,I'm interested in both hardware and personal finance.
social media,,0,I believe social media will grow significantly.
datacenters,,0,I believe datacenters will grow significantly.
wealth management,medical devices,1,I'm interested in both wealth management and medical devices.
entertainment,telemedicine,1,Looking to invest in entertainment as well as telemedicine.
healthcare services,,0,I'm interested in companies focused on healthcare services.
insurance,,0,I want to invest in insurance.
insurance,,0,I want to invest in insurance.
semiconductors,,0,Looking for exposure to semiconductors.
entertainment,utilities,1,I want exposure to companies in entertainment and utilities.
utilities,,0,Looking for exposure to utilities.
podcasting,,0,Looking for exposure to podcasting.
fashion,automation,1,I want exposure to companies in fashion and automation.
wind energy,pharmaceuticals,1,I want exposure to companies in wind energy and pharmaceuticals.
consumer electronics,,0,Looking for exposure to consumer electronics.
telecommunications,,0,I'm interested in companies focused on telecommunications.
solar power,,0,I'm passionate about solar power and want investment opportunities.
home goods,,0,I believe home goods will grow significantly.
health IT,cryptocurrency,1,I'm interested in both health IT and cryptocurrency.
retail,broadcasting,1,I want exposure to companies in retail and broadcasting.
broadcasting,,0,Looking for exposure to broadcasting.
renewable energy,,0,I want to invest in renewable energy.
fintech,,0,Looking for exposure to fintech.
nuclear power,telecommunications,1,I want exposure to companies in nuclear power and telecommunications.
marketing,,0,I'm passionate about marketing and want investment opportunities.
publishing,automotive,1,Looking to invest in publishing as well as automotive.
gaming,wind energy,1,Looking to invest in gaming as well as wind energy.
cryptocurrency,,0,I want to invest in cryptocurrency.
utilities,leisure,1,I believe utilities and leisure will grow over the next decade.
music streaming,,0,Looking for exposure to music streaming.
fintech,cybersecurity,1,I'm interested in both fintech and cybersecurity.
mental health,,0,I believe mental health will grow significantly.
pharmaceuticals,,0,I want to invest in pharmaceuticals.
investment platforms,fitness,1,I want exposure to companies in investment platforms and fitness.
telecommunications,,0,Looking for exposure to telecommunications.
digital advertising,,0,I believe digital advertising will grow significantly.
beverage,,0,I'm passionate about beverage and want investment opportunities.
retail,automation,1,I'm interested in both retail and automation.
digital advertising,,0,I'm interested in companies focused on digital advertising.
consumer electronics,,0,I believe consumer electronics will grow significantly.
telecommunications,,0,I want to invest in telecommunications.
quantum computing,healthcare services,1,I believe quantum computing and healthcare services will grow over the next decade.
music streaming,fashion,1,Looking to invest in music streaming as well as fashion.
clean energy,,0,Looking for exposure to clean energy.
fitness,wealth management,1,I want exposure to companies in fitness and wealth management.
solar power,,0,Looking for exposure to solar power.
fitness,investment platforms,1,Looking to invest in fitness as well as investment platforms.
consumer electronics,,0,I believe consumer electronics will grow significantly.
banking,gaming,1,Looking to invest in banking as well as gaming.
home goods,banking,1,I want exposure to companies in home goods and banking.
video streaming,,0,I believe video streaming will grow significantly.
health IT,investment platforms,1,Looking to invest in health IT as well as investment platforms.
energy storage,,0,I believe energy storage will grow significantly.
digital advertising,,0,I want to invest in digital advertising.
travel,,0,I believe travel will grow significantly.
wind energy,,0,Looking for exposure to wind energy.
investment platforms,,0,I'm interested in companies focused on investment platforms.
banking,,0,I want to invest in banking.
video streaming,,0,I'm passionate about video streaming and want investment opportunities.
lending,beauty,1,I'm interested in both lending and beauty.
solar power,,0,I want to invest in solar power.
renewable energy,,0,I'm interested in companies focused on renewable energy.
healthcare services,wealth management,1,Looking to invest in healthcare services as well as wealth management.
blockchain,,0,Looking for exposure to blockchain.
sports,telecommunications,1,Looking to invest in sports as well as telecommunications.
semiconductors,,0,I believe semiconductors will grow significantly.
wealth management,,0,I believe wealth management will grow significantly.
social media,,0,I'm passionate about social media and want investment opportunities.
genomics,self-driving cars,1,I believe genomics and self-driving cars will grow over the next decade.
software,nuclear power,1,Looking to invest in software as well as nuclear power.
music streaming,travel,1,I'm interested in both music streaming and travel.
blockchain,,0,Looking for exposure to blockchain.
AI,entertainment,1,Looking to invest in AI as well as entertainment.
hardware,,0,I'm interested in companies focused on hardware.
automotive,,0,I'm passionate about automotive and want investment opportunities.
beverage,,0,I want to invest in beverage.
beverage,,0,I'm passionate about beverage and want investment opportunities.
social media,,0,Looking for exposure to social media.
personal finance,,0,I want to invest in personal finance.
utilities,,0,I'm interested in companies focused on utilities.
investment platforms,,0,I believe investment platforms will grow significantly.
banking,digital advertising,1,I'm interested in both banking and digital advertising.
datacenters,investment platforms,1,Looking to invest in datacenters as well as investment platforms.
entertainment,,0,Looking for exposure to entertainment.
fitness,marketing,1,I want exposure to companies in fitness and marketing.
wellness,cybersecurity,1,I want exposure to companies in wellness and cybersecurity.
gaming,telemedicine,1,I believe gaming and telemedicine will grow over the next decade.
self-driving cars,telemedicine,1,Looking to invest in self-driving cars as well as telemedicine.
datacenters,,0,I'm passionate about datacenters and want investment opportunities.
oil and gas,,0,Looking for exposure to oil and gas.
wellness,,0,I'm interested in companies focused on wellness.
cybersecurity,,0,I'm passionate about cybersecurity and want investment opportunities.
music streaming,gaming,1,I want exposure to companies in music streaming and gaming.
pharmaceuticals,oil and gas,1,I want exposure to companies in pharmaceuticals and oil and gas.
software,,0,I'm passionate about software and want investment opportunities.
fintech,home goods,1,Looking to invest in fintech as well as home goods.
EV infrastructure,,0,I want to invest in EV infrastructure.
video streaming,,0,I want to invest in video streaming.
solar power,,0,Looking for exposure to solar power.
podcasting,banking,1,I'm interested in both podcasting and banking.
sports,,0,I believe sports will grow significantly.
fintech,,0,I want to invest in fintech.
medical devices,,0,I believe medical devices will grow significantly.
lending,nuclear power,1,I want exposure to companies in lending and nuclear power.
quantum computing,,0,I believe quantum computing will grow significantly.
telemedicine,,0,Looking for exposure to telemedicine.
automotive,,0,I'm interested in companies focused on automotive.
cybersecurity,insurance,1,Looking to invest in cybersecurity as well as insurance.
beauty,,0,I believe beauty will grow significantly.
oil and gas,,0,I want to invest in oil and gas.
wind energy,cloud computing,1,I'm interested in both wind energy and cloud computing.
podcasting,,0,I'm passionate about podcasting and want investment opportunities.
lending,,0,I want to invest in lending.
self-driving cars,,0,I believe self-driving cars will grow significantly.
telemedicine,,0,I believe telemedicine will grow significantly.
energy storage,,0,I believe energy storage will grow significantly.
self-driving cars,wealth management,1,Looking to invest in self-driving cars as well as wealth management.
mental health,insurance,1,I believe mental health and insurance will grow over the next decade.
beauty,podcasting,1,Looking to invest in beauty as well as podcasting.
datacenters,medical devices,1,I believe datacenters and medical devices will grow over the next decade.
semiconductors,,0,I believe semiconductors will grow significantly.
energy storage,,0,I'm interested in companies focused on energy storage.
automation,broadcasting,1,I want exposure to companies in automation and broadcasting.
self-driving cars,wealth management,1,Looking to invest in self-driving cars as well as wealth management.
AI,,0,I'm passionate about AI and want investment opportunities.
marketing,software,1,Looking to invest in marketing as well as software.
gaming media,EV infrastructure,1,I want exposure to companies in gaming media and EV infrastructure.
nuclear power,,0,Looking for exposure to nuclear power.
quantum computing,,0,I'm passionate about quantum computing and want investment opportunities.
telecommunications,utilities,1,I'm interested in both telecommunications and utilities.
marketing,banking,1,Looking to invest in marketing as well as banking.
pharmaceuticals,,0,I want to invest in pharmaceuticals.
renewable energy,,0,I'm interested in companies focused on renewable energy.
video streaming,fintech,1,I want exposure to companies in video streaming and fintech.
quantum computing,,0,I believe quantum computing will grow significantly.
beauty,,0,I'm passionate about beauty and want investment opportunities.
oil and gas,insurance,1,I'm interested in both oil and gas and insurance.
investment platforms,,0,Looking for exposure to investment platforms.
renewable energy,,0,I'm passionate about renewable energy and want investment opportunities.
automation,retail,1,Looking to invest in automation as well as retail.
gaming,biotech,1,I'm interested in both gaming and biotech.
personal finance,,0,I want to invest in personal finance.
beauty,oil and gas,1,I'm interested in both beauty and oil and gas.
insurance,telemedicine,1,I want exposure to companies in insurance and telemedicine.
beverage,,0,I want to invest in beverage.
EV infrastructure,video streaming,1,I believe EV infrastructure and video streaming will grow over the next decade.
music streaming,software,1,Looking to invest in music streaming as well as software.
oil and gas,digital advertising,1,I want exposure to companies in oil and gas and digital advertising.
insurance,energy storage,1,I believe insurance and energy storage will grow over the next decade.
consumer electronics,,0,Looking for exposure to consumer electronics.
oil and gas,,0,I want to invest in oil and gas.
music streaming,,0,I want to invest in music streaming.
clean energy,telecommunications,1,Looking to invest in clean energy as well as telecommunications.
telecommunications,,0,I believe telecommunications will grow significantly.
digital advertising,travel,1,Looking to invest in digital advertising as well as travel.
digital advertising,,0,I believe digital advertising will grow significantly.
personal finance,,0,I'm passionate about personal finance and want investment opportunities.
investment platforms,gaming,1,Looking to invest in investment platforms as well as gaming.
personal finance,,0,I believe personal finance will grow significantly.
lending,wind energy,1,I'm interested in both lending and wind energy.
gaming media,food,1,I believe gaming media and food will grow over the next decade.
datacenters,,0,Looking for exposure to datacenters.
semiconductors,,0,Looking for exposure to semiconductors.
oil and gas,,0,I believe oil and gas will grow significantly.
fashion,,0,I'm passionate about fashion and want investment opportunities.
healthcare services,investment platforms,1,I'm interested in both healthcare services and investment platforms.
entertainment,clean energy,1,I believe entertainment and clean energy will grow over the next decade.
oil and gas,video streaming,1,I'm interested in both oil and gas and video streaming.
sports,,0,I believe sports will grow significantly.
sports,,0,I want to invest in sports.
automotive,,0,I'm passionate about automotive and want investment opportunities.
self-driving cars,clean energy,1,Looking to invest in self-driving cars as well as clean energy.
renewable energy,marketing,1,I want exposure to companies in renewable energy and marketing.
utilities,,0,I'm passionate about utilities and want investment opportunities.
leisure,,0,I'm passionate about leisure and want investment opportunities.
video streaming,hardware,1,I want exposure to companies in video streaming and hardware.
investment platforms,,0,Looking for exposure to investment platforms.
wealth management,,0,Looking for exposure to wealth management.
pharmaceuticals,,0,I believe pharmaceuticals will grow significantly.
cryptocurrency,,0,I'm interested in companies focused on cryptocurrency.
pharmaceuticals,,0,I want to invest in pharmaceuticals.
EV infrastructure,consumer electronics,1,I believe EV infrastructure and consumer electronics will grow over the next decade.
genomics,,0,Looking for exposure to genomics.
oil and gas,,0,I believe oil and gas will grow significantly.
health IT,semiconductors,1,I'm interested in both health IT and semiconductors.
pharmaceuticals,utilities,1,I believe pharmaceuticals and utilities will grow over the next decade.
insurance,telecommunications,1,I'm interested in both insurance and telecommunications.
clean energy,,0,I believe clean energy will grow significantly.
cybersecurity,,0,I'm interested in companies focused on cybersecurity.
wellness,,0,Looking for exposure to wellness.
fintech,,0,I want to invest in fintech.
insurance,oil and gas,1,I'm interested in both insurance and oil and gas.
wellness,,0,I want to invest in wellness.
telemedicine,,0,Looking for exposure to telemedicine.
genomics,,0,I'm interested in companies focused on genomics.
utilities,lending,1,I'm interested in both utilities and lending.
healthcare services,,0,I'm interested in companies focused on healthcare services.
banking,music streaming,1,I want exposure to companies in banking and music streaming.
digital advertising,,0,I'm passionate about digital advertising and want investment opportunities.
AI,,0,I'm interested in companies focused on AI.
entertainment,,0,I'm passionate about entertainment and want investment opportunities.
banking,automation,1,Looking to invest in banking as well as automation.
travel,,0,I want to invest in travel.
renewable energy,,0,I want to invest in renewable energy.
mental health,,0,I believe mental health will grow significantly.
fashion,,0,I believe fashion will grow significantly.
marketing,,0,I'm passionate about marketing and want investment opportunities.
travel,lending,1,I believe travel and lending will grow over the next decade.
marketing,,0,I want to invest in marketing.
cybersecurity,entertainment,1,I believe cybersecurity and entertainment will grow over the next decade.
lending,fashion,1,Looking to invest in lending as well as fashion.
personal finance,,0,I'm passionate about personal finance and want investment opportunities.
automotive,,0,I'm interested in companies focused on automotive.
cloud computing,,0,I believe cloud computing will grow significantly.
datacenters,,0,Looking for exposure to datacenters.
publishing,datacenters,1,I'm interested in both publishing and datacenters.
gaming,biotech,1,I want exposure to companies in gaming and biotech.
automation,healthcare services,1,Looking to invest in automation as well as healthcare services.
quantum computing,marketing,1,Looking to invest in quantum computing as well as marketing.
investment platforms,,0,I'm interested in companies focused on investment platforms.
insurance,utilities,1,I'm interested in both insurance and utilities.
fashion,,0,I'm passionate about fashion and want investment opportunities.
software,,0,I'm passionate about software and want investment opportunities.
investment platforms,biotech,1,I'm interested in both investment platforms and biotech.
renewable energy,,0,Looking for exposure to renewable energy.
semiconductors,nuclear power,1,Looking to invest in semiconductors as well as nuclear power.
biotech,cybersecurity,1,I believe biotech and cybersecurity will grow over the next decade.
healthcare services,,0,I believe healthcare services will grow significantly.
entertainment,,0,I'm passionate about entertainment and want investment opportunities.
e-commerce,,0,I'm interested in companies focused on e-commerce.
fashion,,0,I'm interested in companies focused on fashion.
biotech,software,1,I believe biotech and software will grow over the next decade.
healthcare services,,0,I'm passionate about healthcare services and want investment opportunities.
cybersecurity,telemedicine,1,I believe cybersecurity and telemedicine will grow over the next decade.
automotive,semiconductors,1,Looking to invest in automotive as well as semiconductors.
EV infrastructure,,0,I'm interested in companies focused on EV infrastructure.
lending,,0,Looking for exposure to lending.
banking,travel,1,I believe banking and travel will grow over the next decade.
podcasting,home goods,1,Looking to invest in podcasting as well as home goods.
digital advertising,,0,I'm passionate about digital advertising and want investment opportunities.
insurance,,0,I believe insurance will grow significantly.
pharmaceuticals,,0,I'm passionate about pharmaceuticals and want investment opportunities.
lending,,0,I'm interested in companies focused on lending.
personal finance,,0,Looking for exposure to personal finance.
solar power,healthcare services,1,I'm interested in both solar power and healthcare services.
solar power,broadcasting,1,I believe solar power and broadcasting will grow over the next decade.
nuclear power,fintech,1,Looking to invest in nuclear power as well as fintech.
fintech,clean energy,1,Looking to invest in fintech as well as clean energy.
AI,healthcare services,1,I believe AI and healthcare services will grow over the next decade.
oil and gas,,0,Looking for exposure to oil and gas.
medical devices,,0,I'm passionate about medical devices and want investment opportunities.
automation,beverage,1,I believe automation and beverage will grow over the next decade.
healthcare services,,0,I believe healthcare services will grow significantly.
publishing,pharmaceuticals,1,I believe publishing and pharmaceuticals will grow over the next decade.
publishing,renewable energy,1,I want exposure to companies in publishing and renewable energy.
social media,,0,I'm interested in companies focused on social media.
music streaming,,0,Looking for exposure to music streaming.
fashion,self-driving cars,1,Looking to invest in fashion as well as self-driving cars.
AI,,0,I'm interested in companies focused on AI.
oil and gas,marketing,1,I want exposure to companies in oil and gas and marketing.
beauty,cybersecurity,1,I'm interested in both beauty and cybersecurity.
gaming media,,0,I'm interested in companies focused on gaming media.
sports,,0,I want to invest in sports.
insurance,,0,I'm passionate about insurance and want investment opportunities.
leisure,,0,Looking for exposure to leisure.
genomics,clean energy,1,I believe genomics and clean energy will grow over the next decade.
AI,,0,I'm passionate about AI and want investment opportunities.
solar power,telemedicine,1,I'm interested in both solar power and telemedicine.
cryptocurrency,,0,I believe cryptocurrency will grow significantly.
video streaming,,0,I'm interested in companies focused on video streaming.
lending,,0,I want to invest in lending.
blockchain,entertainment,1,I believe blockchain and entertainment will grow over the next decade.
insurance,,0,I believe insurance will grow significantly.
fintech,,0,I'm interested in companies focused on fintech.
EV infrastructure,wealth management,1,I want exposure to companies in EV infrastructure and wealth management.
travel,,0,I'm interested in companies focused on travel.
beverage,automation,1,I want exposure to companies in beverage and automation.
personal finance,,0,I believe personal finance will grow significantly.
biotech,cloud computing,1,I'm interested in both biotech and cloud computing.
utilities,,0,I believe utilities will grow significantly.
clean energy,,0,I'm interested in companies focused on clean energy.
social media,mental health,1,Looking to invest in social media as well as mental health.
wellness,retail,1,I want exposure to companies in wellness and retail.
wind energy,social media,1,I want exposure to companies in wind energy and social media.
insurance,,0,I'm interested in companies focused on insurance.
insurance,,0,I believe insurance will grow significantly.
solar power,,0,Looking for exposure to solar power.
biotech,,0,I want to invest in biotech.
video streaming,,0,I believe video streaming will grow significantly.
renewable energy,lending,1,Looking to invest in renewable energy as well as lending.
cryptocurrency,retail,1,I want exposure to companies in cryptocurrency and retail.
personal finance,cloud computing,1,I'm interested in both personal finance and cloud computing.
investment platforms,AI,1,I believe investment platforms and AI will grow over the next decade.
food,,0,I'm passionate about food and want investment opportunities.
personal finance,broadcasting,1,I'm interested in both personal finance and broadcasting.
banking,,0,Looking for exposure to banking.
cryptocurrency,,0,I want to invest in cryptocurrency.
